[431]	validate-mlogloss:0.13295	train-mlogloss:0.01113
[432]	validate-mlogloss:0.13267	train-mlogloss:0.01113
[433]	validate-mlogloss:0.13248	train-mlogloss:0.01113
[434]	validate-mlogloss:0.13262	train-mlogloss:0.01113
[435]	validate-mlogloss:0.13259	train-mlogloss:0.01113
[436]	validate-mlogloss:0.13257	train-mlogloss:0.01113
[437]	validate-mlogloss:0.13260	train-mlogloss:0.01113
[438]	validate-mlogloss:0.13264	train-mlogloss:0.01113
[439]	validate-mlogloss:0.13260	train-mlogloss:0.01111
[440]	validate-mlogloss:0.13249	train-mlogloss:0.01111
[441]	validate-mlogloss:0.13272	train-mlogloss:0.01111
[442]	validate-mlogloss:0.13277	train-mlogloss:0.01111
[443]	validate-mlogloss:0.13273	train-mlogloss:0.01111
[444]	validate-mlogloss:0.13288	train-mlogloss:0.01111
[445]	validate-mlogloss:0.13307	train-mlogloss:0.01111
[446]	validate-mlogloss:0.13303	train-mlogloss:0.01111
[447]	validate-mlogloss:0.13315	train-mlogloss:0.01108
[448]	validate-mlogloss:0.13300	train-mlogloss:0.01108
[449]	validate-mlogloss:0.13292	train-mlogloss:0.01108
[450]	validate-mlogloss:0.13282	train-mlogloss:0.01108
